Ano,Mes,Investimento_Tech_USD
2012,1,828056486
2012,2,801995890
2012,3,891182340
2012,4,861698325
2012,5,973000619
2012,6,841222874
2012,7,905241263
2012,8,924021178
2012,9,867716192
2012,10,945038925
2012,11,782642202
2012,12,655055077
2013,1,847055463
2013,2,754325705
2013,3,920981902
2013,4,1057063451
2013,5,1098120395
2013,6,1021216847
2013,7,1074571358
2013,8,908745512
2013,9,960607086
2013,10,1168054641
2013,11,1001624723
2013,12,828648945
2014,1,1029139860
2014,2,894134241
2014,3,978080885
2014,4,1026025700
2014,5,1024443089
2014,6,897362320
2014,7,957739141
2014,8,920394766
2014,9,1008564058
2014,10,1129989637
2014,11,1042927734
2014,12,819968440
2015,1,944570224
2015,2,909766889
2015,3,933412323
2015,4,919193624
2015,5,648697321
2015,6,546692767
2015,7,613301727
2015,8,596650973
2015,9,613855266
2015,10,616385925
2015,11,584972145
2015,12,452980071
2016,1,485064430
2016,2,538662513
2016,3,606931072
2016,4,602029065
2016,5,616635824
2016,6,601269902
2016,7,560242990
2016,8,678852930
2016,9,593465248
2016,10,698743461
2016,11,762491385
2016,12,665594810
2017,1,795152401
2017,2,588516303
2017,3,798603771
2017,4,755498791
2017,5,789920586
2017,6,745853574
2017,7,755294839
2017,8,864213381
2017,9,832592084
2017,10,972204459
2017,11,908207442
2017,12,766671891
2018,1,944389433
2018,2,773295008
2018,3,772021171
2018,4,853041448
2018,5,925663743
2018,6,861413632
2018,7,809618250
2018,8,950556290
2018,9,827192755
2018,10,911395062
2018,11,900904187
2018,12,679473714
2019,1,980622309
2019,2,762888630
2019,3,789064183
2019,4,906197146
2019,5,896311725
2019,6,762553903
2019,7,786472791
2019,8,777829513
2019,9,812340567
2019,10,957018877
2019,11,858263900
2019,12,687800827
2020,1,907417854
2020,2,631408075
2020,3,818698590
2020,4,650019753
2020,5,637924304
2020,6,726284362
2020,7,842355283
2020,8,864100103
2020,9,983910115
2020,10,933458293
2020,11,973445839
2020,12,896966670
2021,1,921391906
2021,2,826437795
2021,3,923902338
2021,4,827457942
2021,5,903042025
2021,6,849648804
2021,7,835480861
2021,8,988897992
2021,9,971049042
2021,10,894800819
2021,11,1029948003
2021,12,982347798
2022,1,962078027
2022,2,856873156
2022,3,1119615690
2022,4,991401388
2022,5,1159920973
2022,6,1064971821
2022,7,945243958
2022,8,1114293045
2022,9,1019663589
2022,10,1074444294
2022,11,956502708
2022,12,835668672
2023,1,984062917
2023,2,732411918
2023,3,994656997
2023,4,812438700
2023,5,919727857
2023,6,812659718
2023,7,781189023
2023,8,882612717
2023,9,892996325
2023,10,882630169
2023,11,851503300
2023,12,797958058
2024,1,987281988
2024,2,947924564
2024,3,909207047
2024,4,1067410997
2024,5,923335656
2024,6,913849892
2024,7,1031355331
2024,8,1182058327
2024,9,1090415450
2024,10,1062046773
2024,11,1003603480
2024,12,837313472
2025,1,1031233363
2025,2,994508142
2025,3,915298485
2025,4,906870380
2025,5,940945839
2025,6,903601078
2025,7,998276707
2025,8,991229263
2025,9,1160385154
2025,10,1118220739
2025,11,1280665971
2025,12,975429839
