Trimestre,Setor,Estoque,Estoque_Nacional
2012q1,APU,13862079.560399186,88011180.895627081
2012q1,Comércio,2680826.9067721115,88011180.895627081
2012q1,Intermediação Financeira,1212520.3547980401,88011180.895627081
2012q1,Outros Serviços,9742892.1659881752,88011180.895627081
2012q1,Serviço de Informação,1309121.7420769404,88011180.895627081
2012q1,Serviços Imobiliários,496904.59350756987,88011180.895627081
2012q1,Transporte,4077726.9974873317,88011180.895627081
2012q2,APU,14389277.316868806,89646903.863547474
2012q2,Comércio,2775095.9768061107,89646903.863547474
2012q2,Intermediação Financeira,1262215.1405990499,89646903.863547474
2012q2,Outros Serviços,9796246.57183053,89646903.863547474
2012q2,Serviço de Informação,1384121.4378298193,89646903.863547474
2012q2,Serviços Imobiliários,541261.10352925,89646903.863547474
2012q2,Transporte,4134208.9558951678,89646903.863547474
2012q3,APU,14588553.503470011,90319782.640781522
2012q3,Comércio,2704682.676913409,90319782.640781522
2012q3,Intermediação Financeira,1250344.3729353703,90319782.640781522
2012q3,Outros Serviços,9994974.3817422464,90319782.640781522
2012q3,Serviço de Informação,1412723.3358612098,90319782.640781522
2012q3,Serviços Imobiliários,532158.17593627993,90319782.640781522
2012q3,Transporte,4172517.8757098503,90319782.640781522
2012q4,APU,14256663.754983429,90592904.2866826
2012q4,Comércio,2739717.91020789,90592904.2866826
2012q4,Intermediação Financeira,1325774.7969710196,90592904.2866826
2012q4,Outros Serviços,9913238.7504134625,90592904.2866826
2012q4,Serviço de Informação,1381441.4106822105,90592904.2866826
2012q4,Serviços Imobiliários,558374.90482887,90592904.2866826
2012q4,Transporte,4336974.2940021493,90592904.2866826
2013q1,APU,13937225.643835358,89688113.567496121
2013q1,Comércio,2771875.876879381,89688113.567496121
2013q1,Intermediação Financeira,1285086.4533874798,89688113.567496121
2013q1,Outros Serviços,9965895.7070227172,89688113.567496121
2013q1,Serviço de Informação,1377707.8262400106,89688113.567496121
2013q1,Serviços Imobiliários,549881.5838757602,89688113.567496121
2013q1,Transporte,4290860.8230223218,89688113.567496121
2013q2,APU,14388986.206520239,90849154.007396027
2013q2,Comércio,2743391.3925889297,90849154.007396027
2013q2,Intermediação Financeira,1326868.8813014498,90849154.007396027
2013q2,Outros Serviços,9868043.73603926,90849154.007396027
2013q2,Serviço de Informação,1369531.2741028802,90849154.007396027
