Trimestre,Setor,Estoque_Total_Setor,Estoque_TI_Setor
2012q1,APU,13862079.560399184,88074.098504450027
2012q1,Comércio,2680826.9067721106,3153.5425229300004
2012q1,Intermediação Financeira,1212520.3547980404,40086.08522373
2012q1,Outros Serviços,9742892.16598818,37801.41576027
2012q1,Serviço de Informação,1309121.7420769404,359685.38648613
2012q1,Serviços Imobiliários,496904.59350756981,3572.19379369
2012q1,Transporte,4077726.9974873303,7001.1798482200011
2012q2,APU,14389277.316868808,111374.10887192994
2012q2,Comércio,2775095.9768061112,5203.3977134100005
2012q2,Intermediação Financeira,1262215.1405990499,48849.084652299993
2012q2,Outros Serviços,9796246.5718305334,43460.681623439996
2012q2,Serviço de Informação,1384121.4378298197,370536.15954073
2012q2,Serviços Imobiliários,541261.10352924978,2829.35710026
2012q2,Transporte,4134208.9558951682,12244.58850342
2012q3,APU,14588553.503470009,117832.33925326006
2012q3,Comércio,2704682.6769134081,2652.48328807
2012q3,Intermediação Financeira,1250344.37293537,39779.673180890008
2012q3,Outros Serviços,9994974.3817422446,37752.82745706
2012q3,Serviço de Informação,1412723.3358612102,393088.97097796004
2012q3,Serviços Imobiliários,532158.17593627993,873.40369286
2012q3,Transporte,4172517.8757098503,15699.571612200001
2012q4,APU,14256663.754983425,101453.16417098
2012q4,Comércio,2739717.9102078895,3035.1405586699993
2012q4,Intermediação Financeira,1325774.7969710198,52215.203796260008
2012q4,Outros Serviços,9913238.7504134551,34912.551998049996
2012q4,Serviço de Informação,1381441.4106822102,372776.12429805007
2012q4,Serviços Imobiliários,558374.90482887032,663.39576504
2012q4,Transporte,4336974.2940021483,19838.168948190003
2013q1,APU,13937225.643835358,103364.46098886999
2013q1,Comércio,2771875.8768793815,3865.50980231
2013q1,Intermediação Financeira,1285086.4533874802,38586.20880879
2013q1,Outros Serviços,9965895.7070227172,41910.826954270007
2013q1,Serviço de Informação,1377707.8262400106,409938.51886743004
2013q1,Serviços Imobiliários,549881.58387575974,271.94041531
2013q1,Transporte,4290860.8230223209,20625.44326125
2013q2,APU,14388986.206520246,98289.713006829988
2013q2,Comércio,2743391.3925889307,6926.3633790899994
2013q2,Intermediação Financeira,1326868.8813014496,57891.922713270011
2013q2,Outros Serviços,9868043.73603926,37828.528286600013
2013q2,Serviço de Informação,1369531.2741028797,403012.90217028995
2013q2,Serviços Imobiliários,570866.95600621961,141.44417902
2013q2,Transporte,4354970.7451886814,12661.548535189999
2013q3,APU,14538967.909903545,99887.681464720008
2013q3,Comércio,2733450.0994471405,2205.7074977499997
2013q3,Intermediação Financeira,1281758.7053751398,58992.16516622
2013q3,Outros Serviços,9936992.8857082371,30928.235856670002
2013q3,Serviço de Informação,1397689.7427952897,395441.53502275003
2013q3,Serviços Imobiliários,586333.05397584022,968.28321523
2013q3,Transporte,4277699.349217739,12243.3507952
2013q4,APU,14527328.412204875,99527.177266950021
2013q4,Comércio,2818354.8088861303,5893.9453221900012
2013q4,Intermediação Financeira,1302063.73466145,51842.587961529985
2013q4,Outros Serviços,9988659.7597944178,37242.28842696
2013q4,Serviço de Informação,1433718.6051040892,402728.8764430001
2013q4,Serviços Imobiliários,545769.12203251,512.59662466000009
2013q4,Transporte,4266145.6630846681,14138.031068530003
2014q1,APU,14505566.964611385,99136.971476679988
2014q1,Comércio,2758500.7603041297,4111.976637669999
