VAB_Industria_Volume,Trimestre
0.3,2012q1
-2.1,2012q2
1.5,2012q3
-0.9,2012q4
0.3,2013q1
2.9,2013q2
0.5,2013q3
-0.8,2013q4
0.1,2014q1
-2.5,2014q2
-0.5,2014q3
0.8,2014q4
-2.1,2015q1
-2.8,2015q2
-2.0,2015q3
-1.7,2015q4
-0.2,2016q1
-0.6,2016q2
-1.0,2016q3
-1.7,2016q4
0.9,2017q1
0.3,2017q2
0.3,2017q3
1.1,2017q4
0.5,2018q1
-1.6,2018q2
1.1,2018q3
-0.5,2018q4
-0.9,2019q1
0.6,2019q2
0.2,2019q3
0.1,2019q4
-1.9,2020q1
-11.8,2020q2
15.4,2020q3
2.5,2020q4
1.7,2021q1
-1.6,2021q2
-1.1,2021q3
-2.7,2021q4
3.3,2022q1
1.5,2022q2
0.5,2022q3
-0.6,2022q4
0.2,2023q1
0.9,2023q2
0.7,2023q3
1.5,2023q4
0.6,2024q1
0.5,2024q2
0.7,2024q3
0.4,2024q4
0.1,2025q1
0.6,2025q2
0.6,2025q3
-0.7,2025q4
1.0,2026q1
