Trimestre_Cod,Setor_Cod,Setor_Nome,VAB_Indice_Volume
201201,90697,Comércio,0.7
201201,90698,"Transporte, armazenagem e correio",-0.8
201201,90699,Informação e comunicação,2.0
201201,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.3
201201,90702,Atividades imobiliárias,1.8
201201,90701,Outras atividades de serviços,0.7
201201,90703,"Administração, saúde e educação públicas e seguridade social",-0.5
201202,90697,Comércio,1.1
201202,90698,"Transporte, armazenagem e correio",1.0
201202,90699,Informação e comunicação,1.2
201202,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.3
201202,90702,Atividades imobiliárias,2.7
201202,90701,Outras atividades de serviços,1.7
201202,90703,"Administração, saúde e educação públicas e seguridade social",1.9
201203,90697,Comércio,1.6
201203,90698,"Transporte, armazenagem e correio",3.8
201203,90699,Informação e comunicação,3.6
201203,90700,"Atividades financeiras, de seguros e serviços relacionados",0.0
201203,90702,Atividades imobiliárias,0.8
201203,90701,Outras atividades de serviços,1.1
201203,90703,"Administração, saúde e educação públicas e seguridade social",-0.7
201204,90697,Comércio,0.1
201204,90698,"Transporte, armazenagem e correio",-1.6
201204,90699,Informação e comunicação,1.6
201204,90700,"Atividades financeiras, de seguros e serviços relacionados",1.5
201204,90702,Atividades imobiliárias,0.7
201204,90701,Outras atividades de serviços,1.8
201204,90703,"Administração, saúde e educação públicas e seguridade social",0.1
201301,90697,Comércio,0.7
201301,90698,"Transporte, armazenagem e correio",-1.0
201301,90699,Informação e comunicação,-1.4
201301,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.7
201301,90702,Atividades imobiliárias,2.8
201301,90701,Outras atividades de serviços,-1.6
201301,90703,"Administração, saúde e educação públicas e seguridade social",1.9
201302,90697,Comércio,1.9
201302,90698,"Transporte, armazenagem e correio",4.7
201302,90699,Informação e comunicação,1.9
201302,90700,"Atividades financeiras, de seguros e serviços relacionados",2.7
201302,90702,Atividades imobiliárias,0.6
201302,90701,Outras atividades de serviços,0.2
201302,90703,"Administração, saúde e educação públicas e seguridade social",-0.1
201303,90697,Comércio,0.4
201303,90698,"Transporte, armazenagem e correio",-1.0
201303,90699,Informação e comunicação,-0.8
201303,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.2
201303,90702,Atividades imobiliárias,0.6
201303,90701,Outras atividades de serviços,1.5
201303,90703,"Administração, saúde e educação públicas e seguridade social",0.8
201304,90697,Comércio,-0.1
201304,90698,"Transporte, armazenagem e correio",-0.6
201304,90699,Informação e comunicação,4.4
201304,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.6
201304,90702,Atividades imobiliárias,0.3
201304,90701,Outras atividades de serviços,1.3
201304,90703,"Administração, saúde e educação públicas e seguridade social",0.1
201401,90697,Comércio,1.9
201401,90698,"Transporte, armazenagem e correio",1.2
201401,90699,Informação e comunicação,0.9
201401,90700,"Atividades financeiras, de seguros e serviços relacionados",0.5
201401,90702,Atividades imobiliárias,0.1
201401,90701,Outras atividades de serviços,0.8
201401,90703,"Administração, saúde e educação públicas e seguridade social",-0.7
201402,90697,Comércio,-3.2
201402,90698,"Transporte, armazenagem e correio",-0.8
201402,90699,Informação e comunicação,1.1
201402,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.4
201402,90702,Atividades imobiliárias,-0.3
201402,90701,Outras atividades de serviços,-0.5
201402,90703,"Administração, saúde e educação públicas e seguridade social",0.6
201403,90697,Comércio,0.9
